wavenos,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
925,-0.00133128,0.001731034,0.006639294,0.018210623,0.011349674,-0.005541045,-0.013409463,-0.006073551,0.00078201,-0.017281407,-0.006231696,-0.002381534,-0.007757504,0.003064481,0.019694347,-0.008287231,-0.032920487,0.006746137,0.010495275,0,-0.000787995,0.001646538,0.01453394,-0.014645155,-0.006705444,0.023064464,-0.013484638,3.47E-05,-0.148063249,0.008519473,0.004761608,0.00721924,0.331351702
926,-0.001221836,0.002468387,0.00647935,0.019416399,0.012848017,-0.004900633,-0.012614829,-0.006033675,0.001513539,-0.016048557,-0.00624815,-0.003102486,-0.00403944,0.005034561,0.018860868,-0.004250556,-0.033729327,0.008183256,0.011571571,0,-0.002479461,0.001356684,0.018228301,-0.014280622,-2.63E-05,0.030475055,-0.008747347,-0.000289255,-0.125624741,0.00872927,0.004926054,0.007623297,0.301931856
927,-0.001068375,0.003319717,0.00633108,0.020566985,0.014411364,-0.004479992,-0.011907233,-0.005422649,0.002418719,-0.014573698,-0.00476412,-0.003741017,0.001221821,0.006091951,0.018096167,0.00052489,-0.034156754,0.009825018,0.011885879,0,-0.0041125,0.001728596,0.022284316,-0.01352482,0.006985343,0.038422246,-0.004665052,-0.000418559,-0.10497243,0.008968712,0.005173707,0.008149856,0.239689925
928,-0.000869696,0.004155916,0.006204937,0.021509255,0.015929008,-0.004384768,-0.011307263,-0.00444767,0.00344811,-0.012944258,-0.002043989,-0.004269534,0.007007321,0.005820651,0.017440983,0.005714414,-0.03413627,0.011381903,0.011245036,0,-0.005439972,0.00272029,0.026321456,-0.012620641,0.013213658,0.045647078,-0.001544822,-0.000337078,-0.087803768,0.009138762,0.005500903,0.008768651,0.148700688
929,-0.00059727,0.004916698,0.006079996,0.022285319,0.017525342,-0.004823267,-0.010702299,-0.003305647,0.004697249,-0.011064929,0.001570317,-0.004781961,0.013093515,0.00468843,0.01682132,0.01150227,-0.033814383,0.012692689,0.009402541,0,-0.006446155,0.004258569,0.030580093,-0.011683897,0.018113873,0.051937794,0.001041608,-5.46E-05,-0.072022854,0.009292156,0.005952572,0.009529083,0.030460887
930,-0.000285147,0.005492093,0.005914287,0.022685229,0.018922242,-0.005516778,-0.010100787,-0.002125054,0.00606547,-0.009022708,0.005612486,-0.005235632,0.018535325,0.003256504,0.016322319,0.017155312,-0.03308621,0.01358818,0.00606708,0,-0.006981428,0.006191439,0.034724761,-0.01054304,0.020792235,0.056340739,0.002952712,0.000283418,-0.058985033,0.00945899,0.006477265,0.010379732,-0.098576519
931,4.52E-05,0.00587834,0.005638934,0.022616722,0.020106998,-0.006074356,-0.009386583,-0.000979494,0.007562915,-0.006706461,0.009769214,-0.005673928,0.0238403,0.001737401,0.015877599,0.022654074,-0.031920643,0.013956691,0.000527744,0,-0.007084914,0.0083694,0.038905266,-0.009127568,0.021278518,0.058749446,0.004651926,0.000516526,-0.046896343,0.009636463,0.007041764,0.011297474,-0.229415367
932,0.000350221,0.006000408,0.005238158,0.022149352,0.020860495,-0.006392774,-0.008576482,0.000101102,0.009047122,-0.004412099,0.013428184,-0.006019243,0.02785624,-0.000182455,0.015648178,0.027244311,-0.030306909,0.013671364,-0.007396455,0,-0.006719466,0.010555984,0.042814776,-0.007505269,0.019127358,0.058767201,0.005938618,0.000621787,-0.037330102,0.009930538,0.007595579,0.012200459,-0.339844446
933,0.00060614,0.005884363,0.004687361,0.021480191,0.021206394,-0.006273368,-0.007620525,0.001176509,0.010528531,-0.002176496,0.016295751,-0.006285522,0.030999289,-0.002380319,0.015677135,0.031034436,-0.028269897,0.012786902,-0.017827188,0,-0.006037004,0.012643525,0.046707884,-0.005834328,0.014661584,0.056973773,0.007086016,0.000569809,-0.029246318,0.010384403,0.008129798,0.013110258,-0.422656729
934,0.000772496,0.005501297,0.003967992,0.020723303,0.021117928,-0.005850389,-0.006578685,0.002247816,0.011876564,-0.000274232,0.01791929,-0.00638029,0.032515896,-0.003963036,0.015984655,0.033699138,-0.025814731,0.011133043,-0.030003485,0,-0.005077916,0.014405418,0.05027657,-0.004260312,0.007734967,0.053360824,0.007978283,0.000375444,-0.023180417,0.010967971,0.008620789,0.013898124,-0.466425992
935,0.000841064,0.004920002,0.00303954,0.020070083,0.020734009,-0.005384341,-0.005458082,0.003462562,0.013137774,0.001259141,0.018343114,-0.006283191,0.032863473,-0.004269298,0.01655605,0.035535768,-0.022972667,0.008755403,-0.043212039,0,-0.003963168,0.015849912,0.053766341,-0.002721281,-0.001278674,0.048541247,0.008782935,8.63E-05,-0.018120583,0.011726228,0.009121428,0.014577604,-0.47473454
936,0.000821268,0.004184021,0.001902251,0.019701236,0.020070947,-0.004793777,-0.004270397,0.004726702,0.014251875,0.002243508,0.017499381,-0.005939135,0.032041435,-0.003754001,0.017400855,0.036487515,-0.019699607,0.005811517,-0.055499624,0,-0.002750616,0.016897478,0.057071949,-0.001463044,-0.011792121,0.042715659,0.009524832,-0.00024801,-0.014315323,0.012608469,0.00967957,0.015066514,-0.447747753
937,0.000757291,0.003366871,0.000568981,0.019713697,0.019291762,-0.00409691,-0.002983871,0.006031678,0.015274215,0.002736695,0.015753708,-0.005374574,0.031059692,-0.00303212,0.01847204,0.036904225,-0.016057611,0.00256409,-0.065504567,0,-0.001525503,0.017669001,0.060388569,-0.00062422,-0.023057475,0.03641855,0.01033286,-0.000565011,-0.01114438,0.013605561,0.010358667,0.015384075,-0.397578886
938,0.000670532,0.002491233,-0.000878426,0.020269102,0.018461284,-0.003355106,-0.001660847,0.007046335,0.016162349,0.00261133,0.013207453,-0.004578401,0.028942955,-0.002048785,0.019755924,0.03656897,-0.012016726,-0.000595836,-0.070860756,0,-0.000337747,0.018163327,0.063594496,-0.000265028,-0.034374731,0.029966259,0.011226943,-0.000824,-0.008786402,0.014730202,0.011229059,0.015461613,-0.329410986
